Long,Lat,YR_File,File_Date,Case_Num,Loc_Addr,City,State,Zip,Dec_Date,Decision,Rec_Loc,Fil_Loc,Descript,addrtype,addrlocat
-118.20585870659681,34.03458579975903,2000,2001-03-19,ZA-2000-4248-CU,2900 E CALLE PEDRO INFANTE  AL,Los Angeles,CA,90063,2001-03-01,WITHDRAWN,RECORDS CENTER,PIPER TECH 648890,TO PERMIT A NEW WIRELESS COMMUNICATIONS FACILITY WITH 4 ROOF MOUNTED ANTENNAS.,street_address,ROOFTOP
-118.20585870659681,34.03458579975903,2002,2002-11-22,ZA-2002-2803-CU,2900 E CALLE PEDRO INFANTE  AL,Los Angeles,CA,90063, , ,RECORDS CENTER,PIPER TECH 725575,TO PERMIT THE CONSTRUCTION OF A NEW WIRELESS TELECOMMUNICATIONS FACILITY.,street_address,ROOFTOP
-118.17446258741681,34.07154632395495,2006,2006-10-13,ZA-2006-8928-CU,5110 E ALHAMBRA    AVE,Los Angeles,CA,90032,2007-02-28,DENIED,RECORDS CENTER,PIPER TECH 772957,"WIRELESS TELECOMMUNICATIONS FACILITY TO CONSTRUCT MONOPALM, 59 FEET IN HEIGHT EXCEEDING LIMITATION BY 14 FEET.",premise,ROOFTOP
-118.21040418193446,34.1142920508425,2005,2005-10-20,ZA-2005-7522-CU,4900 E CLELAND    AVE,Los Angeles,CA,90042,2006-04-27,APPROVED,RECORDS CENTER,PIPER TECH 764849,WIRELESS TELECOMMUNICATION FACILITY.,premise,ROOFTOP
-118.27279217841651,33.97495060403483,2003,2003-12-31,ZA-2003-9397-CU,131 E FLORENCE    AVE,Los Angeles,CA,90003,2004-04-22,APPROVED,RECORDS CENTER,PIPER TECH 730926,TO CONSTRUCT AND MAINTAIN A UNMANNED 50' WIRELESS MONOPOLE IN AN C2 ZONE.,street_address,ROOFTOP
-118.25756573435072,33.974458931212375,2005,2005-10-12,ZA-2005-7284-CU,922 E FLORENCE    AVE,Los Angeles,CA, ,2006-06-16,APPROVED,RECORDS CENTER,PIPER TECH 764843,WIRELESS TELECOMMUNICATIONS FACILITY,premise,ROOFTOP
-118.44828705232214,33.998331577828324,2005,2005-08-29,ZA-2005-6002-CU,1617 E LUCILLE    AVE,Los Angeles,CA,90291,2006-01-10,TERMINATED,RECORDS CENTER,PIPER TECH 764415,INSTALLATION OF WIRELESS TELECOMMUNICATIONS FAILITY ON THE ROOF OF AN EXISTING CHURCH.,street_address,RANGE_INTERPOLATED
-118.25759268380929,33.96037055224833,2001,2002-06-25,ZA-2001-3788-CU,1001 E MANCHESTER    AVE,Los Angeles,CA,90001,2002-04-11,APPROVED,RECORDS CENTER,PIPER TECH 714774,INSTALLATION OF A WIRELESS TELECOMMUNICATIONS FACILITY,street_address,ROOFTOP
-118.25591283422796,34.00417023088069,2000,2001-06-29,ZA-2000-5453-CU,1109 E VERNON    AVE,Los Angeles,CA,90011,2001-06-13,APPROVED,RECORDS CENTER,PIPER TECH 649426,REQUEST FOR A ROOF MOUNTED UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY.,street_address,ROOFTOP
-118.2666387187203,34.004177677885956,2001,2004-04-16,ZA-2001-2243-CU-PA1,501 E VERNON    AVE,Los Angeles,CA,90011,2004-06-23,APPROVED,RECORDS CENTER,Piper Tech 711918,CO-LOCATION OF AN UNMANNED WIRELESS TELECOMMUNICATIONS FACILITY ON THE ROOF OF AN EXISTING THREE-STORY COMMERCIAL BUILDING IN THE [Q]C2-1 ZONE.,premise,ROOFTOP
