Long,Lat,ogc_fid,ogc_fid0,objectid,post_id,name,descriptio,cat1,cat2,cat3,addrln1,addrln2,city,state,zip,hours,phones,url,email,info1,info2,link,org_name,source,ext_id,use_type,dis_status,latitude,longitude,date_updat,point_x,point_y,objectid_2,city_2
-118.27363659478364,34.06380723408435,2.0,2.0,40282637.0,691.0,St. Vincent Medical Center,The medical center provides health education and hospital services for people of all ages in Los Angeles.  It does not provide general hospital emergency services.,Health and Mental Health,Health Centers, ,2131 W. 3rd St., ,Los Angeles,CA,90057,24 hours a day,"Diabetes Self Management Program Service/Intake (213) 484-7453,  Service/Intake (213) 484-7111, Physician Referral/ 866-478-VINCENT Service/Intake (866) 478-8462, Health Education Services Service/Intake (213) 484-7451",www.stvincentmedicalcenter.com, , , ,http://egis3.lacounty.gov/lms/?p=691,LA County,211, ,publish, ,34.06381,-118.27365,2013-05-28 00:00:00,6478790.58462,1845716.53227,1,IN
-118.24604933240835,33.94295614818966,3.0,3.0,40283665.0,70217.0,Watts Healthcare Corporation,"This agency provides health services, residential substance abuse services, services for older adults, substance abuse services, welfare-to-work support services and WIC for people of all ages who live primarily in the South Central Los Angeles area.",Health and Mental Health,Health Centers, ,10300 Compton Ave, ,Los Angeles,CA,90002,"Monday through Friday, 8:00am to 5:00pm; Saturday, 8:00am to 7:00pm.","Service/Intake and Administration (323) 564-4331, Breastfeeding Service/Intake (323) 568-3070 Ext.4428, 888 WIC BABY Service/Intake (888) 942-2229",www.wattshealth.org, , , ,http://egis3.lacounty.gov/lms/?p=70217, ,211, ,publish, ,33.94296,-118.24606,2010-11-01 00:00:00,6487039.39719,1801713.87684,1,IN
-118.24623797861797,34.04198514861707,4.0,4.0,40281609.0,64029.0,"JWCH Institute, Inc. - Abbey Apartments","Primary Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,625 South San Pedro Street, ,Los Angeles,CA,90014,"Tuesday: 8:00AM - 5:00PM


",(213) 362-9741,http://www.jwchinstitute.org/, ,"Language(s): English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64029,Community Partners,LA County Department of Health Services, ,publish, ,34.04199,-118.24625,2011-10-14 00:00:00,6487069.44766,1837752.00981,1,IN
-118.41071052398742,34.27416228402343,7.0,7.0,40284439.0,70599.0,Northeast Valley Health Corporation - Pacoima Health Center And Wic Site,"The agency provides health services primarily for people who live in the San Fernando Valley including people who are low income, working poor, uninsured, and medically underserved.",Health and Mental Health,Health Centers, ,12756 Van Nuys Blvd, ,Pacoima,CA,91331,"Monday, Tuesday, Wednesday, Thursday, 8:00am to 9:00pm; Friday, 9:00am to 5:00pm; Saturday, 8:00am to 5:00pm.","Administrative (818) 898-1388 Ext.51115, WIC Service/Intake (818) 316-7541, Health Service/Intake (818) 896-0531, Health Appointments Service/Intake (818) 270-9777,  FAX (818) 896-5850",www.nevhc.org/, , , ,http://egis3.lacounty.gov/lms/?p=70599, ,211, ,publish, ,34.27417,-118.41072,2010-11-01 00:00:00,6437589.01873,1922408.80966,1,IN
-118.24554627584925,34.048073867019134,8.0,8.0,40281613.0,64037.0,"JWCH Institute, Inc. - Downtown Women's Center",Primary Care<br />Language(s): Interpreter Services Available,Health and Mental Health,Health Centers, ,325 South Los Angeles Street, ,Los Angeles,CA,90013,"Tuesday & Thursday: 9:00AM - 3:00PM

",(213) 680-0644,http://www.jwchinstitute.org/, ,"Language(s): Interpreter Services Available,", ,http://egis3.lacounty.gov/lms/?p=64037,Community Partners,LA County Department of Health Services, ,publish, ,34.04808,-118.24556,2011-10-14 00:00:00,6487282.98988,1839968.8561,1,IN
-118.30851817726601,34.019345872124134,12.0,12.0,40281617.0,64053.0,Northeast Community Clinic - Foshay,"Primary Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,3751 South Harvard Boulevard, ,Los Angeles,CA,90018,"Monday - Friday: 8:00AM - 12:00PM

",(213) 742-6070, , ,"Language(s): English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64053,Community Partners,LA County Department of Health Services, ,publish, ,34.01935,-118.30853,2011-10-14 00:00:00,6468175.94837,1829566.42743,1,IN
-118.39846648666484,34.18683442978367,14.0,14.0,40281361.0,670.0,Comprehensive Community Health Centers - North Hollywood,"Primary Care<br />Language(s): Armenian, English, Farsi, Interpreter Services Available, Russian, Spanish, Tagalog",Health and Mental Health,Health Centers, ,12157 Victory Blvd., ,North Hollywood,CA,91606,"Monday - Friday: 7:30AM - 8:00PM
Saturday: 9:00AM - 5:00PM
Sunday: 9:00AM - 2:00PM
",Service/Intake (818) 755-8000,http://www.cchccenters.org/, ,"Language(s): Armenian, English, Farsi, Interpreter Services Available, Russian, Spanish, Tagalog", ,http://egis3.lacounty.gov/lms/?p=670,Community Partners,LA County Department of Health Services, ,publish, ,34.18684,-118.39848,2011-10-11 00:00:00,6441161.05621,1890613.889,1,IN
-118.60060539189745,34.19948096057189,17.0,17.0,40281621.0,64057.0,Northeast Valley Health Corporation - Canoga Park,"Primary Care<br />Language(s): English, Interpreter Services Available, Spanish",Health and Mental Health,Health Centers, ,7107 Remmet Avenue, ,Canoga Park,CA,91303,"Monday - Friday (except Wednesday): 8:00AM - 5:00PM
Wednesday: 9:00AM - 5:00PM
Saturday: 8:00AM - 5:00PM

",(818) 340-3570, , ,"Language(s): English, Interpreter Services Available, Spanish,", ,http://egis3.lacounty.gov/lms/?p=64057,Community Partners,LA County Department of Health Services, ,publish, ,34.19949,-118.60062,2011-10-14 00:00:00,6380056.80374,1895520.4074,1,IN
-118.25752081858651,34.05003883685469,18.0,18.0,40222917.0,1285.0,Arthritis Foundation - Pacific Region,The foundation provides health services related to arthritis and related diseases for people of all ages in Los Angeles.,Health and Mental Health,Health Centers, ,800 W. 6th St., ,Los Angeles,CA,90017, ,"FAX (323) 954-5790, Los Angeles/California/English/Spanish Service/Intake (800) 954-2873, National Office Information Only (800) 283-7800, Los Angeles/English &amp; Spanish Service/Intake (323) 954-5750, Southern California Service/Intake (800) 954-2873",www.arthritis.org, , , ,http://egis3.lacounty.gov/lms/?p=1285,www.arthritis.org,211, ,publish, ,34.05004,-118.25753,2013-06-01 00:00:00,6483658.18709,1840692.30347,1,IN
-118.25768251533766,34.05010582365996,22.0,22.0,40222920.0,1286.0,Arthritis Foundation - Valley Office,The foundation provides health services related to arthritis and related diseases for people of all ages in Los Angeles.,Health and Mental Health,Health Centers, ,800 W 6Th St, ,Los Angeles,CA,90017, ,"Service/Intake (800) 995-6416,  Service/Intake (818) 995-7378,  FAX (818) 995-6416",www.arthritis.org, , , ,http://egis3.lacounty.gov/lms/?p=1286,www.arthritis.org,211, ,publish, ,34.05011,-118.2577,2013-06-01 00:00:00,6483608.87649,1840717.98419,1,IN
